date,text,Pump,Exchange,Coin,Notes
2020-08-10T03:58:28,"[{'type': 'bold', 'text': '🚨 4 hour left to pump on binance 🚨 \n\n👉 To know coin name earlier join premium\n\n☎ Contact '}, {'type': 'mention', 'text': '@NathanJensen'}, '']",,,,
2020-08-10T03:58:41,"[{'type': 'bold', 'text': '🚨 15 minutes left to pump on binance 🚨'}, '']",,,,
2020-08-10T03:58:54,"['Pump coin ', {'type': 'hashtag', 'text': '#adx'}]",,,,
2020-08-10T03:59:02,"[{'type': 'bold', 'text': '20% PROFIT!!! GOOD PUMP GUYS!'}]",,,,
2020-08-10T03:59:10,,,,,
2020-08-10T03:59:22,"[{'type': 'italic', 'text': 'You missed one more profit 😢\n\n😂🙈\nHere is one more profit for premium members within 26 hour 💰👇'}, '']",,,,
2020-08-10T03:59:30,"[{'type': 'hashtag', 'text': '#RDN'}, '\nBuy zone ', {'type': 'phone', 'text': '2100-2225'}, '\nSell zone 2300-2400-2650-2850+']",,,,
2020-08-10T03:59:33,"[{'type': 'hashtag', 'text': '#RDN'}, ' hit 2380✅']",,,,
2020-08-12T08:45:01,"[{'type': 'hashtag', 'text': '#rdn'}, ' result \n1st target achieved within 26 hour ✅\n\n', {'type': 'bold', 'text': 'One more quick profit 9%💰🤑'}, '\n\n👉 More quick profit signals just added in premium channel. Hurry up 🏃\u200d♂\n\n☎️ Contact ', {'type': 'mention', 'text': '@NathanJensen'}, ' for premium membership and earn daily profit']",,,,
2020-08-12T08:45:17,"[{'type': 'hashtag', 'text': '#rdn'}, ' proof 👆\nCompare time according to my timezone in both screenshot']",,,,
2020-08-12T08:45:24,,,,,
2020-08-12T08:45:31,"[{'type': 'bold', 'text': ""Again reminding you, don't miss out 👇\n\nFew more quick profit signals just added in premium channel which gives you easy 10-20% profit within 24 hour 👇👇\n\nChoice is yours 👍\n\n☎ Contact ""}, {'type': 'mention', 'text': '@NathanJensen'}, '']",,,,
2020-08-12T08:45:36,,,,,
2020-08-12T08:46:20,"[{'type': 'italic', 'text': 'You missed one more profit 😢\n\n😂🙈\nHere is one more huge quick rofit for premium members in just 1.5 hour  💰👇'}, '']",,,,
2020-08-12T08:46:35,"[{'type': 'hashtag', 'text': '#VET'}, '\nBuy zone 200-210\nSell zone 224-236-258-292+\n\nLeverage 5x']",,,,
